Loading repository data...
Reading installed packages...

S | Name                                       | Summary                                                                                              | Type       
i | bc                                         | GNU Command Line Calculator                                                                          | package    
i | bigreqsproto-devel                         | The X11 Protocol: Big Requests extension                                                             | package    
i | bind-libs                                  | Shared libraries of BIND                                                                             | package    
i | bind-utils                                 | Utilities to query and test DNS                                                                      | package    
i | binutils                                   | GNU Binutils                                                                                         | package    
i | bluedevil                                  | Bluetooth Manager for KDE                                                                            | package    
i | bluez                                      | Bluetooth Stack for Linux                                                                            | package    
i | bootcycle                                  | Boot Cycle Detection                                                                                 | package    
i | bridge-utils                               | Utilities for Configuring the Linux Ethernet Bridge                                                  | package    
i | btrfsprogs                                 | Utilities for the Btrfs filesystem                                                                   | package    
i | bzip2                                      | A Program for Compressing Files                                                                      | package    
i | cdparanoia-devel                           | Include Files and Libraries Mandatory for Development                                                | package    
i | cdrdao                                     | Write CD-Rs in Disk-At-Once Mode                                                                     | package    
i | cdrkit-cdrtools-compat                     | Tool for Writing CDRs - cdrtools Compatibility Package                                               | package    
i | checkmedia                                 | Check Installation Media                                                                             | package    
i | choqok                                     | Micro-Blogging Client for KDE                                                                        | package    
i | chromium                                   | Google's opens source browser project                                                                | package    
i | chromium-desktop-kde                       | Update to chromium to use KDE's kwallet to store passwords                                           | package    
i | chromium-ffmpegsumo                        | Library to provide ffmpeg support to Chromium                                                        | package    
i | cifs-utils                                 | Utilities for doing and managing mounts of the Linux CIFS filesyste                                  | package    
i | clamz                                      | Command-line tool to download MP3 files from Amazon                                                  | package    
i | cln                                        | Class Library for Numbers (C++)                                                                      | package    
i | compositeproto-devel                       | The X11 Protocol: Composite extension                                                                | package    
i | coreutils                                  | GNU Core Utilities                                                                                   | package    
i | cpio                                       | A Backup and Archiving Utility                                                                       | package    
i | cpp                                        | The system GNU Preprocessor                                                                          | package    
i | cpp48                                      | The GCC Preprocessor                                                                                 | package    
i | cpupower                                   | Tools to determine and set CPU Power related Settings                                                | package    
i | cracklib                                   | Library to crack passwords using dictionaries                                                        | package    
i | cracklib-dict-full                         | A Password-Checking Library                                                                          | package    
i | crda                                       | 802.11 central regulatory domain agent                                                               | package    
i | cron                                       | Auxiliary package                                                                                    | package    
i | cronie                                     | Cron Daemon                                                                                          | package    
i | cryptsetup                                 | Set Up dm-crypt Based Encrypted Block Devices                                                        | package    
i | cups                                       | The Common UNIX Printing System                                                                      | package    
i | cups-client                                | CUPS Client Programs                                                                                 | package    
i | cups-filters-foomatic-rip                  | OpenPrinting CUPS filter foomatic-rip                                                                | package    
i | cups-filters-ghostscript                   | OpenPrinting CUPS filters for Ghostscript                                                            | package    
i | cups-libs                                  | Libraries for CUPS                                                                                   | package    
i | cups-pk-helper                             | PolicyKit helper to configure cups with fine-grained privileges                                      | package    
i | curl                                       | A Tool for Transferring Data from URLs                                                               | package    
i | cvs                                        | Concurrent Versions System                                                                           | package    
i | cvsps                                      | A Program for Generating Patch Set Information from a CVS Repository                                 | package    
i | cyrus-sasl                                 | Implementation of Cyrus SASL API                                                                     | package    
i | cyrus-sasl-crammd5                         | Plugin for the CRAMMD5 SASL mechanism                                                                | package    
i | cyrus-sasl-digestmd5                       | Plugin for the DIGESTMD5 SASL mechanism                                                              | package    
i | cyrus-sasl-gssapi                          | Plugin for the GSSAPI SASL mechanism                                                                 | package    
i | cyrus-sasl-plain                           | Plugin for the PLAIN SASL mechanism                                                                  | package    
i | damageproto-devel                          | The X11 Protocol: X Damage extension                                                                 | package    
i | db48-utils                                 | Command Line tools for Managing Berkeley DB Databases                                                | package    
i | dbus-1                                     | D-Bus Message Bus System                                                                             | package    
i | dbus-1-glib                                | GLib-based library for using D-Bus                                                                   | package    
i | dbus-1-python                              | Python bindings for D-Bus                                                                            | package    
i | dbus-1-x11                                 | D-Bus Message Bus System                                                                             | package    
i | dconf                                      | Simple key-based configuration system                                                                | package    
i | deltarpm                                   | Tools to Create and Apply deltarpms                                                                  | package    
i | desktop-file-utils                         | Utilities for Manipulating Desktop Files                                                             | package    
i | device-mapper                              | Device Mapper Tools                                                                                  | package    
i | devilspie                                  | Window-Matching Utility                                                                              | package    
i | dhcp                                       | Common Files Used by ISC DHCP Software                                                               | package    
i | dhcp-client                                | ISC DHCP Client                                                                                      | package    
i | dhcpcd                                     | A DHCP Client Daemon                                                                                 | package    
i | dialog                                     | Menus and Input Boxes for Shell Scripts                                                              | package    
i | diffutils                                  | GNU diff Utilities                                                                                   | package    
i | digikam                                    | A KDE Photo Manager                                                                                  | package    
i | dirmngr                                    | A Client for Managing and Downloading CRLs                                                           | package    
i | dmidecode                                  | DMI table decoder                                                                                    | package    
i | dmraid                                     | A Device-Mapper Software RAID Support Tool                                                           | package    
i | dmxproto-devel                             | The X11 Protocol: Distributed Multihead X extension                                                  | package    
i | dnsmasq                                    | Lightweight, Easy-to-Configure DNS Forwarder and DHCP Server                                         | package    
i | dolphin                                    | KDE File Manager                                                                                     | package    
i | dos2unix                                   | Text converters to and from DOS/MAC to UNIX                                                          | package    
i | dosfstools                                 | Utilities for Making and Checking MS-DOS FAT File Systems on Linux                                   | package    
i | dpkg                                       | Debian package management system                                                                     | package    
i | dracut                                     | Initramfs generator using udev                                                                       | package    
i | dri2proto-devel                            | The X11 Protocol: Direct Rendering Infrastructure 2 extension                                        | package    
i | dvd+rw-tools                               | Collection of Tools for Mastering Blu-ray and DVD+-RW/+-R Media                                      | package    
i | e2fsprogs                                  | Utilities for the Second Extended File System                                                        | package    
i | ed                                         | GNU ed is a line-oriented text editor                                                                | package    
i | elfutils                                   | Higher-level library to access ELF                                                                   | package    
i | enblend-enfuse                             | Tool for Composing Images                                                                            | package    
i | enscript                                   | An ASCII to PostScript(tm) Converter                                                                 | package    
i | esound-daemon                              | A sound daemon for Enlightenment and GNOME                                                           | package    
i | ethtool                                    | Examine and Tune Ethernet-Based Network Interfaces                                                   | package    
i | evieproto-devel                            | The X11 Protocol: Event Interception extension                                                       | package    
i | exif                                       | Small Command Line Utility to Show and Change EXIF Information in JPEG Files                         | package    
i | expat                                      | XML Parser Toolkit                                                                                   | package    
i | fdupes                                     | Identifying or deleting duplicate files                                                              | package    
i | file                                       | A Tool to Determine File Types                                                                       | package    
i | file-magic                                 | The magic files for libmagic to use                                                                  | package    
i | filesystem                                 | Basic Directory Layout                                                                               | package    
i | fillup                                     | Tool for Merging Config Files                                                                        | package    
i | findutils                                  | The GNU versions of find utilities (find and xargs)                                                  | package    
i | finger                                     | Show User Information (Client)                                                                       | package    
i | fipscheck                                  | A library for integrity verification of FIPS validated modules                                       | package    
i | fixesproto-devel                           | The X11 Protocol: X Fixes extension                                                                  | package    
i | fontcacheproto-devel                       | The X11 Protocol: Fontcache extension                                                                | package    
i | fontconfig                                 | Library for Font Configuration                                                                       | package    
i | fontsproto-devel                           | The X11 Protocol: X Fonts extension                                                                  | package    
i | freerdp                                    | Remote Desktop Viewer Client                                                                         | package    
i | freetype2-devel                            | Development environment for the freetype2 TrueType font library                                      | package    
i | ft2demos                                   | Freetype2 Utilities and Demo Programs                                                                | package    
i | fuse                                       | User space File System                                                                               | package    
i | gamin-server                               | Server for the Library providing the FAM File Alteration Monitor API                                 | package    
i | gawk                                       | GNU awk                                                                                              | package    
i | gcc                                        | The system GNU C Compiler                                                                            | package    
i | gcc-c++                                    | The system GNU C++ Compiler                                                                          | package    
i | gcc48                                      | The GNU C Compiler and Support Files                                                                 | package    
i | gcc48-c++                                  | The GNU C++ Compiler                                                                                 | package    
i | gconf-polkit                               | GNOME Configuration Database System - PolicyKit service                                              | package    
i | gconf2                                     | GNOME Configuration Database System                                                                  | package    
i | gcr-data                                   | Data and icon set for gcr                                                                            | package    
i | gcr-prompter                               | Prompt dialog for Crypto UI related task                                                             | package    
i | gcr-viewer                                 | Viewer for Crypto Files                                                                              | package    
i | gd                                         | A Drawing Library for Programs That Use PNG and JPEG Output                                          | package    
i | gdb                                        | A GNU source-level debugger for C, C++, Fortran and other languages                                  | package    
i | gdk-pixbuf-loader-libopenraw               | A library to decode digital camera RAW files -- gdk-pixbuf loader                                    | package    
i | gdk-pixbuf-loader-rsvg                     | A Library for Rendering SVG Data -- gdk-pixbuf loader                                                | package    
i | gdk-pixbuf-query-loaders                   | An image loading library - Utility to create loaders cache                                           | package    
i | gegl-0_2                                   | Generic Graphics Library                                                                             | package    
i | genisoimage                                | A Program for Creating CDs in Linux                                                                  | package    
i | gettext-runtime                            | Tools for Native Language Support (NLS)                                                              | package    
i | gfxboot                                    | Graphical Boot Logo for GRUB, LILO and SYSLINUX                                                      | package    
i | ghostscript                                | The Ghostscript interpreter for PostScript and PDF                                                   | package    
i | ghostscript-x11                            | X11 library for Ghostscript                                                                          | package    
i | gimp                                       | The GNU Image Manipulation Program                                                                   | package    
i | gimp-help-browser                          | The GNU Image Manipulation Program - Help Browser                                                    | package    
i | gimp-plugin-aa                             | The GNU Image Manipulation Program -- ASCII-Art output plugin                                        | package    
i | gimp-plugins-python                        | The GNU Image Manipulation Program - python-gtk based plugins                                        | package    
i | girepository-1_0                           | Base GObject Introspection Bindings                                                                  | package    
i | git                                        | Fast, scalable, distributed revision control system                                                  | package    
i | git-core                                   | Core git tools                                                                                       | package    
i | git-cvs                                    | Git tools for importing CVS repositories                                                             | package    
i | git-email                                  | Git tools for sending email                                                                          | package    
i | git-gui                                    | Grapical tool for common git operations                                                              | package    
i | git-svn                                    | Git tools for importing Subversion repositories                                                      | package    
i | git-web                                    | Git Web Interface                                                                                    | package    
i | gitk                                       | Git revision tree visualiser                                                                         | package    
i | glib-networking                            | Network-related GIO modules for glib                                                                 | package    
i | glib2-tools                                | General-Purpose Utility Library -- Tools                                                             | package    
i | glibc                                      | Standard Shared Libraries (from the GNU C Library)                                                   | package    
i | glibc-devel                                | Include Files and Libraries Mandatory for Development                                                | package    
i | glibc-extra                                | Extra binaries from GNU C Library                                                                    | package    
i | glibc-locale                               | Locale Data for Localized Programs                                                                   | package    
i | glproto-devel                              | The X11 Protocol: OpenGL extension                                                                   | package    
i | glu-devel                                  | Development files for the GLU API                                                                    | package    
i | gnome-keyring                              | GNOME Keyring                                                                                        | package    
i | gnome-keyring-pam                          | GNOME Keyring - PAM module                                                                           | package    
i | gnome-online-accounts                      | GNOME service to access online accounts                                                              | package    
i | gpart                                      | Tool That Can Guess a Lost Partition Table                                                           | package    
i | gpg2                                       | GnuPG 2                                                                                              | package    
i | gpm                                        | Console Mouse Support                                                                                | package    
i | gptfdisk                                   | GPT partitioning and MBR repair software                                                             | package    
i | graphviz                                   | Graph Visualization Tools                                                                            | package    
i | graphviz-gd                                | Graphviz plugin for renderers based on gd                                                            | package    
i | graphviz-gnome                             | Graphviz plugins that use gtk/GNOME                                                                  | package    
i | grep                                       | Print lines matching a pattern                                                                       | package    
i | groff                                      | GNU troff Document Formatting System                                                                 | package    
i | groff-full                                 | GNU troff Document Formatting System                                                                 | package    
i | grub                                       | Grand Unified Boot Loader                                                                            | package    
i | grub2                                      | Bootloader with support for Linux, Multiboot and more                                                | package    
i | grub2-i386-pc                              | Bootloader with support for Linux, Multiboot and more                                                | package    
i | gsettings-backend-dconf                    | Simple key-based configuration system -- GSettings Backend                                           | package    
i | gsettings-desktop-schemas                  | Shared GSettings Schemas for the Desktop                                                             | package    
i | gsl                                        | GNU Scientific Library                                                                               | package    
i | gstreamer-0_10                             | Streaming-Media Framework Runtime                                                                    | package    
i | gstreamer-0_10-plugin-esd                  | GStreamer Streaming-Media Framework Plug-Ins -- EsounD plugin                                        | package    
i | gstreamer-0_10-plugins-base                | GStreamer Streaming-Media Framework Plug-Ins                                                         | package    
i | gstreamer-0_10-plugins-good                | GStreamer Streaming-Media Framework Plug-Ins                                                         | package    
i | gstreamer                                  | Streaming-Media Framework Runtime                                                                    | package    
i | gstreamer-plugins-base                     | GStreamer Streaming-Media Framework Plug-Ins                                                         | package    
i | gstreamer-plugins-good                     | GStreamer Streaming-Media Framework Plug-Ins                                                         | package    
i | gstreamer-plugins-qt                       | C++/Qt bindings for GStreamer                                                                        | package    
i | gsynaptics                                 | A Graphical Front-End for TouchPad Configuration                                                     | package    
i | gtk2-engine-oxygen                         | Oxygen GTK 2.x Theme Engine                                                                          | package    
i | gtk2-immodule-amharic                      | The GTK+ toolkit library (version 2) -- Amharic Input Method                                         | package    
i | gtk2-immodule-inuktitut                    | The GTK+ toolkit library (version 2) -- Inuktitut Input Method                                       | package    
i | gtk2-immodule-thai                         | The GTK+ toolkit library (version 2) -- Thai-Lao Input Method                                        | package    
i | gtk2-immodule-vietnamese                   | The GTK+ toolkit library (version 2) -- Vietnamese Input Method                                      | package    
i | gtk2-theme-oxygen                          | Oxygen GTK 2.x Theme                                                                                 | package    
i | gtk2-theming-engine-adwaita                | Adwaita GTK+ Theming Engine                                                                          | package    
i | gtk2-tools                                 | The GTK+ toolkit library (version 2) -- Tools                                                        | package    
i | gtk3-immodule-amharic                      | The GTK+ toolkit library (version 3) -- Amharic Input Method                                         | package    
i | gtk3-immodule-inuktitut                    | The GTK+ toolkit library (version 3) -- Inuktitut Input Method                                       | package    
i | gtk3-immodule-thai                         | The GTK+ toolkit library (version 3) -- Thai-Lao Input Method                                        | package    
i | gtk3-immodule-vietnamese                   | The GTK+ toolkit library (version 3) -- Vietnamese Input Method                                      | package    
